"User","Count","URLs"
"awoods;DuraSpace",9,"https://github.com/fcrepo4/fcrepo4/pull/1392;https://github.com/fcrepo4/fcrepo4/pull/1391;https://github.com/fcrepo4/fcrepo4/pull/1388;https://github.com/fcrepo4/fcrepo4/pull/1387;https://github.com/fcrepo4/fcrepo4/pull/1386;https://github.com/fcrepo4/fcrepo4/pull/1381;https://github.com/fcrepo4/fcrepo4/pull/1378;https://github.com/fcrepo4/fcrepo4/pull/1375;https://github.com/fcrepo4/fcrepo4/pull/1374"
"dbernstein;",8,"https://github.com/fcrepo4/fcrepo4/pull/1390;https://github.com/fcrepo4/fcrepo4/pull/1389;https://github.com/fcrepo4/fcrepo4/pull/1388;https://github.com/fcrepo4/fcrepo4/pull/1381;https://github.com/fcrepo4/fcrepo4/pull/1380;https://github.com/fcrepo4/fcrepo4/pull/1379;https://github.com/fcrepo4/fcrepo4/pull/1378;https://github.com/fcrepo4/fcrepo4/pull/1375"
"whikloj;",1,"https://github.com/fcrepo4/fcrepo4/pull/1386"
"bseeger;Amherst College",1,"https://github.com/fcrepo4/fcrepo4/pull/1386"
"bbpennel;UNC Chapel Hill Libraries",1,"https://github.com/fcrepo4/fcrepo4/pull/1375"
