"User","Count","URLs"
"lsitu;",11,"https://github.com/fcrepo4/fcrepo4/pull/1312;https://github.com/fcrepo4/fcrepo4/pull/1307;https://github.com/fcrepo4/fcrepo4/pull/1304;https://github.com/fcrepo4/fcrepo4/pull/1301;https://github.com/fcrepo4/fcrepo4/pull/1299;https://github.com/fcrepo4/fcrepo4/pull/1298;https://github.com/fcrepo4/fcrepo4/pull/1294;https://github.com/fcrepo4/fcrepo4/pull/1293;https://github.com/fcrepo4/fcrepo4/pull/1290;https://github.com/fcrepo4/fcrepo4/pull/1288;https://github.com/fcrepo4/fcrepo4/pull/1285"
"dbernstein;",5,"https://github.com/fcrepo4/fcrepo4/pull/1311;https://github.com/fcrepo4/fcrepo4/pull/1305;https://github.com/fcrepo4/fcrepo4/pull/1297;https://github.com/fcrepo4/fcrepo4/pull/1295;https://github.com/fcrepo4/fcrepo4/pull/1286"
"harringj;",4,"https://github.com/fcrepo4/fcrepo4/pull/1315;https://github.com/fcrepo4/fcrepo4/pull/1310;https://github.com/fcrepo4/fcrepo4/pull/1302;https://github.com/fcrepo4/fcrepo4/pull/1292"
"bbpennel;UNC Chapel Hill Libraries",4,"https://github.com/fcrepo4/fcrepo4/pull/1306;https://github.com/fcrepo4/fcrepo4/pull/1303;https://github.com/fcrepo4/fcrepo4/pull/1300;https://github.com/fcrepo4/fcrepo4/pull/1296"
"yinlinchen;Virginia Tech University Libraries",2,"https://github.com/fcrepo4/fcrepo4/pull/1308;https://github.com/fcrepo4/fcrepo4/pull/1291"
"whikloj;",2,"https://github.com/fcrepo4/fcrepo4/pull/1287;https://github.com/fcrepo4/fcrepo4/pull/1284"
"awoods;DuraSpace",1,"https://github.com/fcrepo4/fcrepo4/pull/1313"
