"User","Count","URLs"
"whikloj;",9,"https://github.com/fcrepo4/fcrepo4/pull/1342;https://github.com/fcrepo4/fcrepo4/pull/1339;https://github.com/fcrepo4/fcrepo4/pull/1335;https://github.com/fcrepo4/fcrepo4/pull/1334;https://github.com/fcrepo4/fcrepo4/pull/1326;https://github.com/fcrepo4/fcrepo4/pull/1323;https://github.com/fcrepo4/fcrepo4/pull/1322;https://github.com/fcrepo4/fcrepo4/pull/1319;https://github.com/fcrepo4/fcrepo4/pull/1318"
"awoods;DuraSpace",7,"https://github.com/fcrepo4/fcrepo4/pull/1348;https://github.com/fcrepo4/fcrepo4/pull/1347;https://github.com/fcrepo4/fcrepo4/pull/1342;https://github.com/fcrepo4/fcrepo4/pull/1337;https://github.com/fcrepo4/fcrepo4/pull/1335;https://github.com/fcrepo4/fcrepo4/pull/1333;https://github.com/fcrepo4/fcrepo4/pull/1332"
"dbernstein;",3,"https://github.com/fcrepo4/fcrepo4/pull/1324;https://github.com/fcrepo4/fcrepo4/pull/1317;https://github.com/fcrepo4/fcrepo4/pull/1316"
"mohideen;University of Maryland Libraries",1,"https://github.com/fcrepo4/fcrepo4/pull/1321"
"bseeger;Amherst College",1,"https://github.com/fcrepo4/fcrepo4/pull/1331"
