"User","Count","URLs"
"dbernstein;",7,"https://github.com/fcrepo4/fcrepo4/pull/1359;https://github.com/fcrepo4/fcrepo4/pull/1357;https://github.com/fcrepo4/fcrepo4/pull/1353;https://github.com/fcrepo4/fcrepo4/pull/1352;https://github.com/fcrepo4/fcrepo4/pull/1351;https://github.com/fcrepo4/fcrepo4/pull/1349;https://github.com/fcrepo4/fcrepo4/pull/1341"
"whikloj;",2,"https://github.com/fcrepo4/fcrepo4/pull/1357;https://github.com/fcrepo4/fcrepo4/pull/1346"
"bbpennel;UNC Chapel Hill Libraries",1,"https://github.com/fcrepo4/fcrepo4/pull/1357"
"awoods;DuraSpace",1,"https://github.com/fcrepo4/fcrepo4/pull/1346"
