"User","Count","URLs"
"dbernstein;",6,"https://github.com/fcrepo4/fcrepo4/pull/1413;https://github.com/fcrepo4/fcrepo4/pull/1412;https://github.com/fcrepo4/fcrepo4/pull/1411;https://github.com/fcrepo4/fcrepo4/pull/1402;https://github.com/fcrepo4/fcrepo4/pull/1400;https://github.com/fcrepo4/fcrepo4/pull/1394"
"awoods;DuraSpace",6,"https://github.com/fcrepo4/fcrepo4/pull/1408;https://github.com/fcrepo4/fcrepo4/pull/1406;https://github.com/fcrepo4/fcrepo4/pull/1403;https://github.com/fcrepo4/fcrepo4/pull/1402;https://github.com/fcrepo4/fcrepo4/pull/1397;https://github.com/fcrepo4/fcrepo4/pull/1395"
"bbpennel;UNC Chapel Hill Libraries",5,"https://github.com/fcrepo4/fcrepo4/pull/1412;https://github.com/fcrepo4/fcrepo4/pull/1411;https://github.com/fcrepo4/fcrepo4/pull/1410;https://github.com/fcrepo4/fcrepo4/pull/1405;https://github.com/fcrepo4/fcrepo4/pull/1400"
"peichman-umd;University of Maryland Libraries (@umd-lib)",3,"https://github.com/fcrepo4/fcrepo4/pull/1411;https://github.com/fcrepo4/fcrepo4/pull/1401;https://github.com/fcrepo4/fcrepo4/pull/1395"
"whikloj;",2,"https://github.com/fcrepo4/fcrepo4/pull/1403;https://github.com/fcrepo4/fcrepo4/pull/1393"
"birkland;JHU",2,"https://github.com/fcrepo4/fcrepo4/pull/1402;https://github.com/fcrepo4/fcrepo4/pull/1395"
"acoburn;Amherst College",1,"https://github.com/fcrepo4/fcrepo4/pull/1399"
